Time,transforms
1647137340.954251,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 953853960
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006813223473727703
    y: -0.006190011743456125
    z: 0.020886491984128952
  rotation: 
    x: 0.005912842708278358
    y: -0.009303639664306577
    z: 0.047153961021944475
    w: 0.998826804075684]"
1647137340.9614017,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 960916597
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006800657603889704
    y: -0.006180895492434502
    z: 0.02087990567088127
  rotation: 
    x: 0.006111611080329837
    y: -0.009253754180348062
    z: 0.0471387090647244
    w: 0.9988267909659231]"
1647137340.9686182,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 968249656
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.0068132467567920685
    y: -0.006194496992975473
    z: 0.020888978615403175
  rotation: 
    x: 0.005883602281154954
    y: -0.009230184142409914
    z: 0.04715115833868706
    w: 0.99882779055862]"
1647137340.9774785,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 977001342
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.00680477125570178
    y: -0.006186539772897959
    z: 0.020888272672891617
  rotation: 
    x: 0.005932832595036895
    y: -0.009264173905956833
    z: 0.04712646076185746
    w: 0.9988283502560891]"
1647137340.9810514,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 980619003
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006801172625273466
    y: -0.006185933016240597
    z: 0.020885087549686432
  rotation: 
    x: 0.005934170394144798
    y: -0.009260005234697782
    z: 0.04713232773054963
    w: 0.9988281041337826]"
1647137340.9909744,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 990516171
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006809285841882229
    y: -0.006181595381349325
    z: 0.020871328189969063
  rotation: 
    x: 0.0059328569850249655
    y: -0.009296194913826957
    z: 0.047091720098401575
    w: 0.9988296911217113]"
1647137340.994664,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 994306181
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006799048278480768
    y: -0.006176647264510393
    z: 0.020870361477136612
  rotation: 
    x: 0.006023722848406477
    y: -0.009307437804463956
    z: 0.04709448035743453
    w: 0.9988289124191514]"
1647137341.0031726,"[header: 
  seq: 0
  stamp: 
    secs: 1647137341
    nsecs:   2747147
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006791727617383003
    y: -0.006166101898998022
    z: 0.02085988037288189
  rotation: 
    x: 0.006011703145251143
    y: -0.00919653210210207
    z: 0.04730336069223758
    w: 0.9988201416119964]"
1647137341.0155947,"[header: 
  seq: 0
  stamp: 
    secs: 1647137341
    nsecs:  15136000
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006804430857300758
    y: -0.006187151186168194
    z: 0.020891809836030006
  rotation: 
    x: 0.006029189000790103
    y: -0.009222844465918603
    z: 0.047093588094650335
    w: 0.9988297061963674]"
1647137341.0159588,"[header: 
  seq: 0
  stamp: 
    secs: 1647137341
    nsecs:  15562246
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006803507916629314
    y: -0.006177580915391445
    z: 0.020885439589619637
  rotation: 
    x: 0.006031003645473197
    y: -0.009220554286681504
    z: 0.047168462411232466
    w: 0.9988261833409429]"
